date,price
2014-03-05 00:00:00 UTC,658.24
2014-03-06 00:00:00 UTC,654.55
2014-03-07 00:00:00 UTC,617.62
2014-03-08 00:00:00 UTC,610.37
2014-03-09 00:00:00 UTC,636.17
2014-03-10 00:00:00 UTC,621.17
2014-03-11 00:00:00 UTC,624.23
2014-03-12 00:00:00 UTC,638.07
2014-03-13 00:00:00 UTC,639.03
2014-03-14 00:00:00 UTC,629.67
2014-03-15 00:00:00 UTC,638.07
2014-03-16 00:00:00 UTC,629.55
2014-03-17 00:00:00 UTC,623.705
2014-03-18 00:00:00 UTC,612.622
2014-03-19 00:00:00 UTC,610.636
2014-03-20 00:00:00 UTC,592.07
2014-03-21 00:00:00 UTC,582.303
2014-03-22 00:00:00 UTC,561.22
2014-03-23 00:00:00 UTC,567.779
2014-03-24 00:00:00 UTC,571.418
2014-03-25 00:00:00 UTC,582.55
2014-03-26 00:00:00 UTC,584.442
2014-03-27 00:00:00 UTC,567.64
2014-03-28 00:00:00 UTC,503.661
2014-03-29 00:00:00 UTC,502.302
2014-03-30 00:00:00 UTC,469.938
2014-03-31 00:00:00 UTC,457.399
2014-04-01 00:00:00 UTC,478.7163
2014-04-02 00:00:00 UTC,437.515
2014-04-03 00:00:00 UTC,447.0822
2014-04-04 00:00:00 UTC,448.8792
2014-04-05 00:00:00 UTC,464.8259
2014-04-06 00:00:00 UTC,460.7028
2014-04-07 00:00:00 UTC,457.792
2014-04-08 00:00:00 UTC,450.4638
2014-04-09 00:00:00 UTC,440.1983
2014-04-10 00:00:00 UTC,360.8407
2014-04-11 00:00:00 UTC,420.0563
2014-04-12 00:00:00 UTC,420.66
2014-04-13 00:00:00 UTC,414.9495
2014-04-14 00:00:00 UTC,457.6338
2014-04-15 00:00:00 UTC,520.1233
2014-04-16 00:00:00 UTC,529.1625
2014-04-17 00:00:00 UTC,494.4
2014-04-18 00:00:00 UTC,478.2312
2014-04-19 00:00:00 UTC,501.5515
2014-04-20 00:00:00 UTC,497.3177
2014-04-21 00:00:00 UTC,492.6733
2014-04-22 00:00:00 UTC,484.8533
2014-04-23 00:00:00 UTC,487.525
2014-04-24 00:00:00 UTC,494.2733
2014-04-25 00:00:00 UTC,458.8067
2014-04-26 00:00:00 UTC,453.8
2014-04-27 00:00:00 UTC,437.9216
2014-04-28 00:00:00 UTC,436.92
2014-04-29 00:00:00 UTC,443.27
2014-04-30 00:00:00 UTC,444.9968
2014-05-01 00:00:00 UTC,455.0913
2014-05-02 00:00:00 UTC,443.4734
2014-05-03 00:00:00 UTC,434.0333
2014-05-04 00:00:00 UTC,433.9432
2014-05-05 00:00:00 UTC,429.0761
2014-05-06 00:00:00 UTC,426.7634
2014-05-07 00:00:00 UTC,439.3
2014-05-08 00:00:00 UTC,437.3633
2014-05-09 00:00:00 UTC,447.4933
2014-05-10 00:00:00 UTC,452.505
2014-05-11 00:00:00 UTC,436.2833
2014-05-12 00:00:00 UTC,439.19
2014-05-13 00:00:00 UTC,437.305
2014-05-14 00:00:00 UTC,444.2467
2014-05-15 00:00:00 UTC,444.25
2014-05-16 00:00:00 UTC,445.165
2014-05-17 00:00:00 UTC,445.8533
2014-05-18 00:00:00 UTC,444.2133
2014-05-19 00:00:00 UTC,443.87
2014-05-20 00:00:00 UTC,483.4167
2014-05-21 00:00:00 UTC,488.7717
